"HETER_GROUP","REC_PARENT","FORMED_GEN","NOTE_AA_text","QPM_ZN_DONOR","Reference","SOWDATE","YEARCODE","ACCNAME","HARVDATE","PRODSEASON","PRODLOC","PLOTS_IN_TRIAL","ACTION","LNAME","PED","Group Source Preferred Name","Group Source GID","Method Code","Male Parent Preferred Name","Immediate Source Name","Immediate Source GID","Male Parent GID","Units","Lots","Location","Available","Creation Date","Method Group","Method Number","PreferredID","Breeding Method Name","Female Parent Preferred Name","Preferred Name","Location Abbr","GroupID","Cross","GUID","Female Parent GID","GID"
,"CLWQHZN19","increase",,,"","20170413","X13","X1G01U00013","20170822","2017B","centro","SN17B03","selfed","CLWQHZN19","CLWQHZN19","-","-","NSI","","-","-","","SEED_AMOUNT_No","1","SN Centro Experimental","666","20170822","G","61","","Seed increase","","X1G01U00013","CE","0","X1G01U00013","2QEDGKtSVMRgy","","1"
,"CLWNHZN44","increase","Se uso en incremento F17",,"","20170413","X14","X1G01U00014","20170822","2017B","centro","SN17B07","selfed","CLWNHZN44","CLWNHZN44","-","-","NSI","","-","-","","","0","SN Centro Experimental","0","20170822","G","61","","Seed increase","","X1G01U00014","CE","0","X1G01U00014","2QEDGBgWhvNQG","","2"
,"CLWQHZN69","increase",,,"","20170413","X15","X1G01U00015","20170822","2017B","centro","SN17B10","selfed","CLWQHZN69","CLWQHZN69","-","-","NSI","","-","-","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","61","","Seed increase","","X1G01U00015","CE","0","X1G01U00015","2QEDG1Mb0lN37","","3"
,"CLWQHZN19","increase",,,"","20170413","X16","X1G01U00016","20170822","2017B","centro","SN17B14","selfed","CLWQHZN19","CLWQHZN19","-","-","NSI","","-","-","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","61","","Seed increase","","X1G01U00016","CE","0","X1G01U00016","2QEDG76EGQjWx","","4"
,"CLWNHZN43","increase","Se uso en incremento F17",,"","20170413","X17","X1G01U00017","20170822","2017B","centro","SN17B18","selfed","CLWNHZN43","CLWNHZN43","-","-","NSI","","-","-","","","0","SN Centro Experimental","0","20170822","G","61","","Seed increase","","X1G01U00017","CE","0","X1G01U00017","2QEDGbSadSuEo","","5"
,"CLWQHZN69","increase",,,"","20170413","X18","X1G01U00018","20170822","2017B","centro","SN17B21","selfed","CLWQHZN69","CLWQHZN69","-","-","NSI","","-","-","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","61","","Seed increase","","X1G01U00018","CE","0","X1G01U00018","2QEDGtWT1HSms","","6"
,"CML576","increase","Se uso en incremento F17",,"","20170413","X19","X1G01U00019","20170822","2017B","centro","SN17B25","selfed","CML576","(CLFAWW11/CML494)-B-24-2-2-B-B-1-B-8-B-B","-","-","NSI","","-","-","","","0","SN Centro Experimental","0","20170822","G","61","","Seed increase","","X1G01U00019","CE","0","X1G01U00019","2QEDGSG9bH6JL","","7"
,"CLWQHZN46","increase",,,"","20170413","X20","X1G01U00020","20170822","2017B","centro","SN17B28","selfed","CLWQHZN46","CLWQHZN46","-","-","NSI","","-","-","","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","61","","Seed increase","","X1G01U00020","CE","0","X1G01U00020","2QEDGvLkQpnt9","","8"
,"CLWQHZN19","BC0F1",,"CLWQHZN46","","20170413","X1","X1G01U00001","20170822","2017B","centro","SN17B3x28","cross","SNHBKWZ22400","CLWQHZN19/CLWQHZN46","-","-","BCR","X1G01U00020","-","-","8","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00013","X1G01U00001","CE","0","X1G01U00013/X1G01U00020","2QEDGJ6thYAbZ","1","9"
,"CLWQHZN19","BC0F1",,"CLWNHZN44","","20170413","X2","X1G01U00002","20170822","2017B","centro","SN17B3x7","cross","SNHBKWZ22401","CLWQHZN19/CLWNHZN44
","-","-","BCR","X1G01U00014","-","-","2","","0","SN Centro Experimental","0","20170822","G","107","","Backcross","X1G01U00013","X1G01U00002","CE","0","X1G01U00013/X1G01U00014","2QEDGhk6DGheu","1","10"
,"CLWNHZN44","BC0F1",,"CLWQHZN19","","20170413","X3","X1G01U00003","20170822","2017B","centro","SN17B7x3","cross","SNHBKWZ22402","CLWNHZN44/CLWQHZN19","-","-","BCR","X1G01U00013","-","-","1","","0","SN Centro Experimental","0","20170822","G","107","","Backcross","X1G01U00014","X1G01U00003","CE","0","X1G01U00014/X1G01U00013","2QEDGbznsE0h9","2","11"
,"CLWNHZN44","BC0F1",,"CLWQHZN69","","20170413","X4","X1G01U00004","20170822","2017B","centro","SN17B7x10","cross","SNHBKWZ22403","CLWNHZN44/CLWQHZN69","-","-","BCR","X1G01U00015","-","-","3","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00014","X1G01U00004","CE","0","X1G01U00014/X1G01U00015","2QEDGKPSzQon6","2","12"
,"CLWQHZN69","BC0F1",,"CLWNHZN44","","20170413","X5","X1G01U00005","20170822","2017B","centro","SN17B10x7","cross","SNHBKWZ22404","CLWQHZN69/CLWNHZN44","-","-","BCR","X1G01U00014","-","-","2","SEED_AMOUNT_g","1","SN Centro Experimental","10","20170822","G","107","","Backcross","X1G01U00015","X1G01U00005","CE","0","X1G01U00015/X1G01U00014","2QEDGHvce19Qf","3","13"
