sample,group,Genotype,GID,plate_code,well,Lote,is_hybrid,total_markers,valid_calls,het_calls,homo_calls,failed_calls,het_rate,call_rate,fail_rate,concordance,purity_status,purity_reason
F6601 - P1A1,F5,F5,53002,F6601,P1A1,L-99-1,True,9910,9679,1168,8511,231,0.12067362330819299,0.9766902119071644,0.02330978809283552,0.9421427833453869,FAIL,low heterozygosity for hybrid (12.1%; expected >20%)
F6601 - P1B1,F5,F5,53002,F6601,P1B1,L-99-1,True,9910,9679,3200,6479,231,0.33061266659778904,0.9766902119071644,0.02330978809283552,0.998346936667011,PASS,OK
F6601 - P1B2,F5,F5,53002,F6601,P1B2,L-99-1,True,9910,9709,3230,6479,201,0.33268101761252444,0.9797174571140262,0.020282542885973764,0.9982490472757235,PASS,OK
F6601 - P1C1,F5,F5,53002,F6601,P1C1,L-99-1,True,9910,9695,3167,6528,215,0.3266632284682826,0.9783047426841575,0.021695257315842584,0.9979370809695719,PASS,OK
F6601 - P1C2,F5,F5,53002,F6601,P1C2,L-99-1,True,9910,9652,884,8768,258,0.09158723580605056,0.9739656912209889,0.0260343087790111,0.9240571902196436,FAIL,low heterozygosity for hybrid (9.2%; expected >20%)
F6601 - P1D1,F5,F5,53002,F6601,P1D1,L-99-1,True,9910,9730,3209,6521,180,0.32980472764645424,0.9818365287588294,0.018163471241170535,0.9976361767728674,PASS,OK
F6601 - P1E1,F5,F5,53002,F6601,P1E1,L-99-1,True,9910,9713,3243,6470,197,0.33388242561515497,0.9801210898082745,0.01987891019172553,0.9977349943374858,PASS,OK
F6601 - P1F1,F5,F5,53002,F6601,P1F1,L-99-1,True,9910,9668,897,8771,242,0.09278030616466694,0.9755802219979819,0.024419778002018163,0.926458419528341,FAIL,low heterozygosity for hybrid (9.3%; expected >20%)
F6601 - P1G1,F5,F5,53002,F6601,P1G1,L-99-1,True,9910,9723,3228,6495,187,0.331996297439062,0.981130171543895,0.018869828456104944,0.9987658130206726,PASS,OK
F6601 - P1H1,F5,F5,53002,F6601,P1H1,L-99-1,True,9910,9699,3188,6511,211,0.3286936797608001,0.9787083753784056,0.021291624621594347,0.9978348283328178,PASS,OK
